reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
ARG,Argentina,AGO,Angola,agriculture,10,Cereals,260069459.15,2025,Export
ARG,Argentina,AGO,Angola,agriculture,10,Cereals,260069459.15,2025,Export
ARG,Argentina,ARE,United Arab Emirates,agriculture,10,Cereals,113416927.05,2025,Export
ARG,Argentina,ARE,United Arab Emirates,agriculture,10,Cereals,113416927.05,2025,Export
ARG,Argentina,ARE,United Arab Emirates,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",8356305.55,2025,Export
ARG,Argentina,ARE,United Arab Emirates,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",8356305.55,2025,Export
ARG,Argentina,AUS,Australia,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",28483908.71,2025,Export
ARG,Argentina,AUS,Australia,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",28483908.71,2025,Export
ARG,Argentina,BEL,Belgium,agriculture,10,Cereals,2294369.79,2025,Export
ARG,Argentina,BEL,Belgium,agriculture,10,Cereals,2294369.79,2025,Export
ARG,Argentina,BEL,Belgium,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",31201859.15,2025,Export
ARG,Argentina,BEL,Belgium,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",31201859.15,2025,Export
ARG,Argentina,BGD,Bangladesh,agriculture,10,Cereals,245651848.12,2025,Export
ARG,Argentina,BGD,Bangladesh,agriculture,10,Cereals,245651848.12,2025,Export
ARG,Argentina,BGR,Bulgaria,agriculture,10,Cereals,78277.0,2025,Export
ARG,Argentina,BGR,Bulgaria,agriculture,10,Cereals,78277.0,2025,Export
ARG,Argentina,BGR,Bulgaria,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",10769314.19,2025,Export
ARG,Argentina,BGR,Bulgaria,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",10769314.19,2025,Export
ARG,Argentina,BHR,Bahrain,agriculture,10,Cereals,53934.44,2025,Export
ARG,Argentina,BHR,Bahrain,agriculture,10,Cereals,53934.44,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),agriculture,10,Cereals,11862808.94,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),agriculture,10,Cereals,11862808.94,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),agriculture,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",70333141.63,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),agriculture,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",70333141.63,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",5546691.84,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",5546691.84,2025,Export
ARG,Argentina,BRA,Brazil,agriculture,10,Cereals,1457402895.71,2025,Export
ARG,Argentina,BRA,Brazil,agriculture,10,Cereals,1457402895.71,2025,Export
ARG,Argentina,BRA,Brazil,agriculture,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",289872743.37,2025,Export
ARG,Argentina,BRA,Brazil,agriculture,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",289872743.37,2025,Export
ARG,Argentina,BRA,Brazil,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",18751376.71,2025,Export
ARG,Argentina,BRA,Brazil,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",18751376.71,2025,Export
ARG,Argentina,CAN,Canada,agriculture,10,Cereals,67709.75,2025,Export
ARG,Argentina,CAN,Canada,agriculture,10,Cereals,67709.75,2025,Export
ARG,Argentina,CAN,Canada,agriculture,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",13037757.28,2025,Export
