reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
ARG,Argentina,AUS,Australia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1797142.72,2025,Export
ARG,Argentina,AUS,Australia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1797142.72,2025,Export
ARG,Argentina,BEL,Belgium,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42094.04,2025,Export
ARG,Argentina,BEL,Belgium,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42094.04,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20678918.03,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20678918.03,2025,Export
ARG,Argentina,BRA,Brazil,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5599208260.57,2025,Export
ARG,Argentina,BRA,Brazil,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5599208260.57,2025,Export
ARG,Argentina,CHL,Chile,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",435251133.28,2025,Export
ARG,Argentina,CHL,Chile,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",435251133.28,2025,Export
ARG,Argentina,CHN,China,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",93352.49,2025,Export
ARG,Argentina,CHN,China,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",93352.49,2025,Export
ARG,Argentina,COL,Colombia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",389057808.58,2025,Export
ARG,Argentina,COL,Colombia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",389057808.58,2025,Export
ARG,Argentina,CRI,Costa Rica,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",66695281.31,2025,Export
ARG,Argentina,CRI,Costa Rica,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",66695281.31,2025,Export
ARG,Argentina,DEU,Germany,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11389413.96,2025,Export
ARG,Argentina,DEU,Germany,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11389413.96,2025,Export
ARG,Argentina,ECU,Ecuador,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33224191.77,2025,Export
ARG,Argentina,ECU,Ecuador,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33224191.77,2025,Export
ARG,Argentina,ESP,Spain,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",391154.11,2025,Export
ARG,Argentina,ESP,Spain,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",391154.11,2025,Export
ARG,Argentina,FRA,France,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",682920.48,2025,Export
ARG,Argentina,FRA,France,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",682920.48,2025,Export
ARG,Argentina,GBR,United Kingdom,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",78319.11,2025,Export
ARG,Argentina,GBR,United Kingdom,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",78319.11,2025,Export
ARG,Argentina,GTM,Guatemala,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",128210462.23,2025,Export
ARG,Argentina,GTM,Guatemala,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",128210462.23,2025,Export
ARG,Argentina,HND,Honduras,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",34844744.06,2025,Export
ARG,Argentina,HND,Honduras,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",34844744.06,2025,Export
ARG,Argentina,ITA,Italy,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",434952.48,2025,Export
ARG,Argentina,ITA,Italy,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",434952.48,2025,Export
