reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
ARG,Argentina,ARE,United Arab Emirates,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2792528.66,2025,Export
ARG,Argentina,ARE,United Arab Emirates,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2792528.66,2025,Export
ARG,Argentina,ARE,United Arab Emirates,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",222280.37,2025,Export
ARG,Argentina,ARE,United Arab Emirates,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",222280.37,2025,Export
ARG,Argentina,AUS,Australia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",6286123.45,2025,Export
ARG,Argentina,AUS,Australia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",6286123.45,2025,Export
ARG,Argentina,AUS,Australia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",86514.65,2025,Export
ARG,Argentina,AUS,Australia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",86514.65,2025,Export
ARG,Argentina,AUT,Austria,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",128244.8,2025,Export
ARG,Argentina,AUT,Austria,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",128244.8,2025,Export
ARG,Argentina,AUT,Austria,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",24539.25,2025,Export
ARG,Argentina,AUT,Austria,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",24539.25,2025,Export
ARG,Argentina,BEL,Belgium,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1852745.67,2025,Export
ARG,Argentina,BEL,Belgium,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1852745.67,2025,Export
ARG,Argentina,BGR,Bulgaria,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",199885.76,2025,Export
ARG,Argentina,BGR,Bulgaria,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",199885.76,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",23012096.55,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",23012096.55,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3084169.39,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3084169.39,2025,Export
ARG,Argentina,BRA,Brazil,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",538548574.59,2025,Export
ARG,Argentina,BRA,Brazil,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",538548574.59,2025,Export
ARG,Argentina,BRA,Brazil,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",87196116.52,2025,Export
ARG,Argentina,BRA,Brazil,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",87196116.52,2025,Export
ARG,Argentina,CAN,Canada,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",26166507.53,2025,Export
ARG,Argentina,CAN,Canada,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",26166507.53,2025,Export
ARG,Argentina,CAN,Canada,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",266496.44,2025,Export
ARG,Argentina,CAN,Canada,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",266496.44,2025,Export
ARG,Argentina,CHE,Switzerland,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1105705.79,2025,Export
ARG,Argentina,CHE,Switzerland,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1105705.79,2025,Export
ARG,Argentina,CHL,Chile,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",59946578.69,2025,Export
ARG,Argentina,CHL,Chile,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",59946578.69,2025,Export
ARG,Argentina,CHL,Chile,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",20198940.49,2025,Export
ARG,Argentina,CHL,Chile,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",20198940.49,2025,Export
ARG,Argentina,CHN,China,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4266706.48,2025,Export
ARG,Argentina,CHN,China,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4266706.48,2025,Export
ARG,Argentina,CHN,China,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",236479.08,2025,Export
ARG,Argentina,CHN,China,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",236479.08,2025,Export
ARG,Argentina,COL,Colombia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",34841439.68,2025,Export
ARG,Argentina,COL,Colombia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",34841439.68,2025,Export
ARG,Argentina,COL,Colombia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",6103528.92,2025,Export
ARG,Argentina,COL,Colombia,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",6103528.92,2025,Export
ARG,Argentina,CRI,Costa Rica,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",5238826.53,2025,Export
ARG,Argentina,CRI,Costa Rica,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",5238826.53,2025,Export
ARG,Argentina,CRI,Costa Rica,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",630566.27,2025,Export
ARG,Argentina,CRI,Costa Rica,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",630566.27,2025,Export
ARG,Argentina,CZE,Czechia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",45414.07,2025,Export
ARG,Argentina,CZE,Czechia,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",45414.07,2025,Export
ARG,Argentina,DEU,Germany,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",27089873.93,2025,Export
ARG,Argentina,DEU,Germany,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",27089873.93,2025,Export
ARG,Argentina,DEU,Germany,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1089381.6,2025,Export
ARG,Argentina,DEU,Germany,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1089381.6,2025,Export
ARG,Argentina,DNK,Denmark,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",246170.36,2025,Export
ARG,Argentina,DNK,Denmark,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",246170.36,2025,Export
ARG,Argentina,DNK,Denmark,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",5521.99,2025,Export
ARG,Argentina,DNK,Denmark,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",5521.99,2025,Export
ARG,Argentina,DOM,Dominican Rep.,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4175533.51,2025,Export
ARG,Argentina,DOM,Dominican Rep.,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4175533.51,2025,Export
ARG,Argentina,DOM,Dominican Rep.,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",501147.62,2025,Export
ARG,Argentina,DOM,Dominican Rep.,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",501147.62,2025,Export
ARG,Argentina,DZA,Algeria,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",111941.15,2025,Export
ARG,Argentina,DZA,Algeria,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",111941.15,2025,Export
ARG,Argentina,ECU,Ecuador,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",7499568.96,2025,Export
ARG,Argentina,ECU,Ecuador,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",7499568.96,2025,Export
ARG,Argentina,ECU,Ecuador,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1196776.26,2025,Export
ARG,Argentina,ECU,Ecuador,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1196776.26,2025,Export
ARG,Argentina,EGY,Egypt,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1592686.75,2025,Export
ARG,Argentina,EGY,Egypt,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1592686.75,2025,Export
ARG,Argentina,EGY,Egypt,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",9063.91,2025,Export
ARG,Argentina,EGY,Egypt,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",9063.91,2025,Export
ARG,Argentina,ESP,Spain,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",14814631.58,2025,Export
ARG,Argentina,ESP,Spain,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",14814631.58,2025,Export
ARG,Argentina,ESP,Spain,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",30102839.31,2025,Export
ARG,Argentina,ESP,Spain,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",30102839.31,2025,Export
ARG,Argentina,FRA,France,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4678703.62,2025,Export
ARG,Argentina,FRA,France,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",4678703.62,2025,Export
ARG,Argentina,FRA,France,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",599080.62,2025,Export
ARG,Argentina,FRA,France,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",599080.62,2025,Export
ARG,Argentina,GBR,United Kingdom,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",5803668.09,2025,Export
ARG,Argentina,GBR,United Kingdom,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",5803668.09,2025,Export
ARG,Argentina,GBR,United Kingdom,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",993610.2,2025,Export
ARG,Argentina,GBR,United Kingdom,electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",993610.2,2025,Export
ARG,Argentina,GRC,Greece,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",131639.34,2025,Export
ARG,Argentina,GRC,Greece,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",131639.34,2025,Export
ARG,Argentina,GTM,Guatemala,electronics,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",5558293.84,2025,Export
