reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
ARG,Argentina,AUS,Australia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",68604431.82,2025,Export
ARG,Argentina,AUS,Australia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",68604431.82,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",10532286.58,2025,Export
ARG,Argentina,BOL,Bolivia (Plurinational State of),energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",10532286.58,2025,Export
ARG,Argentina,BRA,Brazil,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",682656175.26,2025,Export
ARG,Argentina,BRA,Brazil,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",682656175.26,2025,Export
ARG,Argentina,CHL,Chile,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2749276197.29,2025,Export
ARG,Argentina,CHL,Chile,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2749276197.29,2025,Export
ARG,Argentina,CHN,China,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",309750431.43,2025,Export
ARG,Argentina,CHN,China,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",309750431.43,2025,Export
ARG,Argentina,COL,Colombia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",294192.52,2025,Export
ARG,Argentina,COL,Colombia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",294192.52,2025,Export
ARG,Argentina,ECU,Ecuador,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",411303.79,2025,Export
ARG,Argentina,ECU,Ecuador,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",411303.79,2025,Export
