typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","600","PRY","Paraguay","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2595183.76","2595183.76","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","360","IDN","Indonesia","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"517407870.21","517407870.21","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","368","IRQ","Iraq","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"124894803","124894803","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","380","ITA","Italy","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"7209082.87","7209082.87","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","384","CIV","Côte d'Ivoire","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"22865203.49","22865203.49","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","400","JOR","Jordan","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"62801665.85","62801665.85","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","404","KEN","Kenya","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"172688879.16","172688879.16","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","410","KOR","Rep. of Korea","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"110806602.31","110806602.31","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","414","KWT","Kuwait","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"62860093.81","62860093.81","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","422","LBN","Lebanon","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"29460287.17","29460287.17","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","430","LBR","Liberia","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"4770699.18","4770699.18","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","434","LBY","Libya","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"8623073.74","8623073.74","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","458","MYS","Malaysia","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"687736582.26","687736582.26","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","466","MLI","Mali","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1699982.91","1699982.91","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","899","_X ","Areas, nes","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"75719091.3","75719091.3","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","484","MEX","Mexico","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"9599242.19","9599242.19","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","490","S19","Other Asia, nes","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"14046207.7","14046207.7","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","504","MAR","Morocco","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"225921272.65","225921272.65","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","512","OMN","Oman","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"40322100.96","40322100.96","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","528","NLD","Netherlands","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"34098624.35","34098624.35","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","554","NZL","New Zealand","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"49820.3","49820.3","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","562","NER","Niger","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"334835.2","334835.2","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","566","NGA","Nigeria","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"107912579.85","107912579.85","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","178","COG","Congo","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"9734921.5","9734921.5","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","180","COD","Dem. Rep. of the Congo","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"15942513.93","15942513.93","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","188","CRI","Costa Rica","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"11332562.96","11332562.96","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","191","HRV","Croatia","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"77114","77114","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","192","CUB","Cuba","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"6451475.26","6451475.26","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","214","DOM","Dominican Rep.","899","_X ","Areas, nes","H6","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"27340679.45","27340679.45","0","false","true",
