typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","887","YEM","Yemen","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"258884223.22","258884223.22","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","70","BIH","Bosnia Herzegovina","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"15843905.71","15843905.71","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","156","CHN","China","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"9716808774.15","9716808774.15","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","170","COL","Colombia","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"916599364.42","916599364.42","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","324","GIN","Guinea","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"45655325.48","45655325.48","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","328","GUY","Guyana","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1975908.21","1975908.21","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","332","HTI","Haiti","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"3190033.31","3190033.31","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","340","HND","Honduras","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"144580066.73","144580066.73","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","344","HKG","China, Hong Kong SAR","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"92379673.46","92379673.46","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","348","HUN","Hungary","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"10470985.79","10470985.79","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","352","ISL","Iceland","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"3775195.12","3775195.12","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","360","IDN","Indonesia","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1240657055.03","1240657055.03","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","364","IRN","Iran","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"237245137.8","237245137.8","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","368","IRQ","Iraq","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"563140331.5","563140331.5","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","372","IRL","Ireland","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"526725795.71","526725795.71","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","376","ISR","Israel","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"586885414.17","586885414.17","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","600","PRY","Paraguay","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1369460339.5","1369460339.5","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","788","TUN","Tunisia","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"93681614.92","93681614.92","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","792","TUR","Türkiye","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"708317290.09","708317290.09","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","800","UGA","Uganda","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"68134014.71","68134014.71","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","804","UKR","Ukraine","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"29812210.25","29812210.25","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","807","MKD","North Macedonia","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"8830108.82","8830108.82","0","false","true",
